Date,Open,High,Low,Close,Adj Close,Volume
11/27/2018,340.049988,346.959991,335.5,343.920013,343.920013,6358300
11/28/2018,345.98999,348.279999,342.209991,347.869995,347.869995,4127600
11/29/2018,347,347.5,339.549988,341.170013,341.170013,3080700
11/30/2018,341.829987,351.600006,338.26001,350.480011,350.480011,5629100
12/3/2018,360,366,352,358.48999,358.48999,8306500
12/4/2018,356.049988,368.679993,352,359.700012,359.700012,8461900
12/6/2018,356.01001,367.380005,350.76001,363.059998,363.059998,7842500
12/7/2018,369,379.48999,357.649994,357.970001,357.970001,11511200
12/10/2018,360,365.980011,353.119995,365.149994,365.149994,6613500
12/11/2018,369.910004,372.170013,360.230011,366.76001,366.76001,6308800
12/12/2018,369.420013,371.910004,365.160004,366.600006,366.600006,5027000
12/13/2018,370.149994,377.440002,366.75,376.790009,376.790009,7365900
12/14/2018,375,377.869995,364.329987,365.709991,365.709991,6337600
12/17/2018,362,365.700012,343.880005,348.420013,348.420013,7674000
12/18/2018,350.540009,351.549988,333.690002,337.029999,337.029999,7100000
12/19/2018,337.600006,347.01001,329.73999,332.970001,332.970001,8274200
12/20/2018,327.049988,330.290009,311.869995,315.380005,315.380005,9071900
12/21/2018,317.399994,323.470001,312.440002,319.769989,319.769989,8016800
12/24/2018,313.5,314.5,295.200012,295.390015,295.390015,5559900
12/26/2018,300,326.970001,294.089996,326.089996,326.089996,8163100
12/27/2018,319.839996,322.170013,301.5,316.130005,316.130005,8575100
12/28/2018,323.100006,336.23999,318.410004,333.869995,333.869995,9939000
12/31/2018,337.790009,339.209991,325.26001,332.799988,332.799988,6302300
1/2/2019,306.100006,315.130005,298.799988,310.119995,310.119995,11658600
1/3/2019,307,309.399994,297.380005,300.359985,300.359985,6965200
1/4/2019,306,318,302.730011,317.690002,317.690002,7394100
1/7/2019,321.720001,336.73999,317.75,334.959991,334.959991,7551200
1/8/2019,341.959991,344.01001,327.019989,335.350006,335.350006,7008500
1/9/2019,335.5,343.5,331.470001,338.529999,338.529999,5432900
1/10/2019,334.399994,345.390015,331.790009,344.970001,344.970001,6056400
1/11/2019,342.089996,348.410004,338.769989,347.26001,347.26001,5039100
1/14/2019,342.380005,342.5,334,334.399994,334.399994,5247300
1/15/2019,335,348.799988,334.5,344.429993,344.429993,6056600
1/16/2019,344.779999,352,343.5,346.049988,346.049988,4691700
1/17/2019,346.209991,351.5,344.149994,347.309998,347.309998,3676700
1/18/2019,323,327.130005,299.730011,302.26001,302.26001,24150800
1/22/2019,304.820007,308,295.5,298.920013,298.920013,12066700
1/23/2019,292.5,294.5,281.690002,287.589996,287.589996,12530000
1/24/2019,283.029999,293.679993,279.279999,291.51001,291.51001,8012200
1/25/2019,294.390015,298.519989,289.549988,297.040009,297.040009,7249600
1/28/2019,292.910004,297.459991,287.75,296.380005,296.380005,6423300
1/29/2019,295.269989,298.559998,291.799988,297.459991,297.459991,4621700
1/30/2019,300.450012,309,298.48999,308.769989,308.769989,11250300
1/31/2019,301,311.559998,294,307.019989,307.019989,12569200
2/1/2019,305.420013,316.100006,303.5,312.209991,312.209991,7283400
2/4/2019,312.980011,315.299988,301.880005,312.890015,312.890015,7352100
2/5/2019,312.48999,322.440002,312.25,321.350006,321.350006,6742800
2/6/2019,319.589996,324.23999,315.619995,317.220001,317.220001,5038500
2/7/2019,313.299988,314.700012,303,307.51001,307.51001,6520600
2/8/2019,306.829987,307.450012,298.5,305.799988,305.799988,5844200
2/11/2019,311.600006,318.600006,310.5,312.839996,312.839996,7129700
2/12/2019,316.200012,318.190002,309.619995,311.809998,311.809998,5517600
2/13/2019,312.350006,312.75,305.570007,308.170013,308.170013,5141600
2/14/2019,303.380005,306.769989,301,303.769989,303.769989,5200800
2/15/2019,304.5,308,303.899994,307.880005,307.880005,3904900
